分类名称,商品数量,主要商品ID
高温白玉瓷餐具,130,需要API获取130个商品ID (分类ID: 124372511)
骨瓷餐具,67,需要API获取67个商品ID (分类ID: 113657275)
手绘茶具,39,需要API获取39个商品ID (分类ID: 135496594)
品牌,36,需要API获取36个商品ID (分类ID: 125170448)
高温白玉瓷餐具-颜色釉,25,需要API获取25个商品ID (分类ID: 124372574)
高温白玉瓷餐具-手工镶金,25,需要API获取25个商品ID (分类ID: 142026848)
办公系列,20,需要API获取20个商品ID (分类ID: 113703833)
骨瓷餐具-经典,19,需要API获取19个商品ID (分类ID: 113658689)
高温白玉瓷餐具-粉彩,19,需要API获取19个商品ID (分类ID: 151474604)
手绘茶具-玲珑壶组套装,17,需要API获取17个商品ID (分类ID: 135592053)
骨瓷餐具-手工镶金,15,需要API获取15个商品ID (分类ID: 122541865)
礼品·文创,15,需要API获取15个商品ID (分类ID: 135496663)
高温白玉瓷餐具-釉中青花,13,需要API获取13个商品ID (包含7257502545和7257580227)
茶具套装,11,需要API获取11个商品ID (分类ID: 113791987)
手绘茶具-玲珑盖碗套装,11,需要API获取11个商品ID (分类ID: 135496624)
礼品·文创-文创,10,需要API获取10个商品ID (分类ID: 139198068)
骨瓷餐具-至尊珐琅彩,10,需要API获取10个商品ID (分类ID: 113657349)
办公系列-套杯,10,需要API获取10个商品ID (分类ID: 135924227)
高温白玉瓷餐具-玲珑釉上,9,需要API获取9个商品ID (分类ID: 151434727)
高温白玉瓷餐具-臻品珐琅彩,8,需要API获取8个商品ID (分类ID: 135496499)
高温白玉瓷餐具-精品青花,8,需要API获取8个商品ID (分类ID: 124372612)
办公系列-盖杯,7,需要API获取7个商品ID (分类ID: 135925033)
花瓶,6,需要API获取6个商品ID (分类ID: 115710964)
高温白玉瓷餐具-釉中青花玲珑,6,需要API获取6个商品ID (分类ID: 124372546)
骨瓷餐具-网红爆款,6,需要API获取6个商品ID (分类ID: 121577451)
高温白玉瓷餐具-22头礼品装,6,需要API获取6个商品ID (分类ID: 139626080)
茶具套装-杯垫,6,需要API获取6个商品ID (分类ID: 121491513)
手绘茶具-工笔写艺盖碗套装,6,需要API获取6个商品ID (分类ID: 135496645)
高温白玉瓷餐具-纯色,6,需要API获取6个商品ID (分类ID: 151967405)
骨瓷餐具-釉中,5,需要API获取5个商品ID (分类ID: 113657323)
骨瓷餐具-高档锦盒,5,需要API获取5个商品ID (分类ID: 113658708)
手绘茶具-工笔写意壶组套装,5,需要API获取5个商品ID (分类ID: 135592069)
茶具套装-大套豪华套装,3,需要API获取3个商品ID (分类ID: 113897281)
高温白玉瓷餐具-至尊青花,3,需要API获取3个商品ID (分类ID: 139661840)
礼品·文创-珐琅彩茶具,3,需要API获取3个商品ID (分类ID: 139198074)
订货参考,3,需要API获取3个商品ID (分类ID: 115026831)
办公系列-手绘,3,需要API获取3个商品ID (分类ID: 135496527)
高温白玉瓷餐具-酒杯款,2,需要API获取2个商品ID (分类ID: 151474735)
礼品·文创-手绘镶金茶具,2,需要API获取2个商品ID (分类ID: 139626107)
订货参考-酒店前台,2,需要API获取2个商品ID (分类ID: 115027143)
茶具套装-中套家庭装,1,需要API获取1个商品ID (分类ID: 114847284)
骨瓷餐具-欧式,1,需要API获取1个商品ID (分类ID: 148520366)
骨瓷餐具-22头礼品装,1,需要API获取1个商品ID (分类ID: 139626085)
茶具套装-小套功夫装,1,需要API获取1个商品ID (分类ID: 121577719)
花瓶-小花瓶,1,需要API获取1个商品ID (分类ID: 121491386)
订货参考-寿碗,1,需要API获取1个商品ID (分类ID: 115026947)
